City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
3,Vao,NC,77.34,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
7,Sabya,SA,85.62,clear sky,17.1495,42.6254,Aseel Hotel Apartment
9,Castro,BR,79.65,clear sky,-24.7911,-50.0119,CHACARA BAILLY
12,Caravelas,BR,83.43,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
13,Bredasdorp,ZA,79.92,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
18,Kasamwa,TZ,75.13,moderate rain,-2.85,32.4333,
21,Santa Cruz Cabralia,BR,79.03,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
23,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
26,Port Elizabeth,ZA,87.1,clear sky,-33.918,25.5701,39 On Nile Guest House
30,Mar Del Plata,AR,80.62,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
32,Kieta,PG,81.32,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
38,Hermanus,ZA,79.9,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
40,Atuona,PF,77.9,clear sky,-9.8,-139.0333,Villa Enata
43,Tual,ID,83.95,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
48,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
50,Marzuq,YE,79.34,clear sky,14.4,46.4667,
52,Rikitea,PF,77.97,light rain,-23.1203,-134.9692,People ThankYou
55,Faanui,PF,80.91,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Rocha,UY,80.4,few clouds,-34.4833,-54.3333,Hotel Arrarte
58,Sunbury,AU,75.22,clear sky,-37.5833,144.7333,Sunbury Motor Inn
61,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
67,Plettenberg Bay,ZA,77.05,few clouds,-34.0527,23.3716,Thanda Vista B&B
