City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Narsaq,GL,1/22/2022 12:32,60.9167,-46.05,261.27,68,2,3.45
1,Kaeo,NZ,1/22/2022 12:27,-35.1,173.7833,289.44,89,37,2.38
2,Lujan,AR,1/22/2022 12:30,-34.5703,-59.105,298.05,88,99,6.35
3,Tyazhinskiy,RU,1/22/2022 12:32,56.116,88.524,255.3,98,89,1.82
4,Chimbote,PE,1/22/2022 12:32,-9.0853,-78.5783,294.9,81,9,1.82
5,Puerto Ayora,EC,1/22/2022 12:26,-0.7393,-90.3518,295.7,89,34,1.82
6,Rikitea,PF,1/22/2022 12:27,-23.1203,-134.9692,298.77,68,87,4.79
7,Xiongzhou,CN,1/22/2022 12:32,25.1167,114.3,288.86,93,99,0.79
8,Hermanus,ZA,1/22/2022 12:27,-34.4187,19.2345,311.98,44,15,4.72
9,Walvis Bay,NA,1/22/2022 12:32,-22.9575,14.5053,299.68,61,40,4.12
10,Longyearbyen,SJ,1/22/2022 12:28,78.2186,15.6401,273.06,74,40,7.2
11,Jinxi,CN,1/22/2022 12:32,30.4323,116.2922,280.54,94,100,1.61
12,Sorong,ID,1/22/2022 12:32,-0.8833,131.25,300.11,79,100,1.07
13,Adrar,MR,1/22/2022 12:27,20.5022,-10.0711,297.69,12,100,7.83
14,Ertil,RU,1/22/2022 12:32,51.8406,40.8056,266.34,96,100,3.5
15,Ponta Do Sol,PT,1/22/2022 12:32,32.6667,-17.1,293.71,62,25,2.77
16,Ust-Maya,RU,1/22/2022 12:32,60.4167,134.5333,249.03,100,100,0.04
17,Port Alfred,ZA,1/22/2022 12:30,-33.5906,26.891,300.06,63,0,13.79
18,Atuona,PF,1/22/2022 12:28,-9.8,-139.0333,298.75,76,9,8.26
19,Boyolangu,ID,1/22/2022 12:32,-8.1181,111.8935,298.07,90,100,1.42
20,Vaini,TO,1/22/2022 12:30,-21.2,-175.2,299.24,89,40,3.09
21,Georgetown,MY,1/22/2022 12:28,5.4112,100.3354,303.12,64,20,2.57
22,Mataura,NZ,1/22/2022 12:27,-46.1927,168.8643,285.64,83,46,2.46
23,Banda Aceh,ID,1/22/2022 12:32,5.5577,95.3222,299.84,79,45,2.78
24,Ushuaia,AR,1/22/2022 12:27,-54.8,-68.3,282.96,76,75,3.09
25,Show Low,US,1/22/2022 12:30,34.2542,-110.0298,272.67,83,100,3.09
26,Tasiilaq,GL,1/22/2022 12:32,65.6145,-37.6368,262.24,52,6,4.4
27,Sheltozero,RU,1/22/2022 12:32,61.3667,35.3667,262.83,97,90,1.89
28,Hobart,AU,1/22/2022 12:28,-42.8794,147.3294,291.07,83,20,2.06
29,Mar Del Plata,AR,1/22/2022 12:26,-38.0023,-57.5575,295.16,100,100,2.24
30,Tshane,BW,1/22/2022 12:32,-24.0196,21.8684,304.19,20,21,6.28
31,Puerto Leguizamo,CO,1/22/2022 12:32,-0.1934,-74.7819,298.07,80,67,0.56
32,New Norfolk,AU,1/22/2022 12:30,-42.7826,147.0587,290.87,95,100,0.36
33,Buchanan,LR,1/22/2022 12:32,5.8808,-10.0467,303.13,33,6,2.11
34,Sydney,AU,1/22/2022 12:28,-33.8679,151.2073,294.76,79,75,1.34
35,The Pas,CA,1/22/2022 12:32,53.8251,-101.2541,243.16,83,0,1.54
36,Talcahuano,CL,1/22/2022 12:32,-36.7167,-73.1167,288.49,83,49,6.45
37,Arraial Do Cabo,BR,1/22/2022 12:28,-22.9661,-42.0278,301.13,74,20,6.17
