City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carnarvon,AU,-24.8667,113.6333,78.87,73,0,26.46,clear sky
1,Bethel,US,41.3712,-73.414,28.47,72,100,6.91,overcast clouds
2,Yellowknife,CA,62.456,-114.3525,-17.45,89,40,5.75,scattered clouds
3,Vao,NC,-22.6667,167.4833,77.34,64,100,4.25,overcast clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,8.58,94,69,10.54,broken clouds
5,Sitka,US,57.0531,-135.33,35.49,87,0,3.44,clear sky
6,Bristol,US,41.8334,-71.1662,26.73,83,100,3.0,mist
7,Sabya,SA,17.1495,42.6254,85.62,46,0,11.32,clear sky
8,Naze,JP,28.3667,129.4833,62.02,75,95,10.04,overcast clouds
9,Castro,BR,-24.7911,-50.0119,79.65,62,0,3.02,clear sky
10,Qaanaaq,GL,77.484,-69.3632,-5.4,96,100,4.94,overcast clouds
11,Vostok,RU,46.4856,135.8833,-11.02,99,81,4.72,broken clouds
12,Caravelas,BR,-17.7125,-39.2481,83.43,61,100,6.62,overcast clouds
13,Bredasdorp,ZA,-34.5322,20.0403,79.92,57,4,16.11,clear sky
14,Lata,PT,40.1629,-8.3327,59.04,44,0,2.64,clear sky
15,Granada,ES,37.25,-3.25,48.87,57,90,5.19,overcast clouds
16,Nemuro,JP,43.3236,145.575,23.54,69,45,14.12,scattered clouds
17,Torbay,CA,47.6666,-52.7314,32.27,87,100,11.5,overcast clouds
18,Kasamwa,TZ,-2.85,32.4333,75.13,70,95,5.03,moderate rain
19,Nikolskoye,RU,59.7035,30.7861,31.87,92,100,11.72,overcast clouds
20,Ribeira Grande,PT,38.5167,-28.7,63.0,63,20,5.75,few clouds
21,Santa Cruz Cabralia,BR,-16.2781,-39.0247,79.03,78,75,8.05,broken clouds
22,Puerto Ayora,EC,-0.7393,-90.3518,72.99,89,89,8.3,overcast clouds
23,Port Blair,IN,11.6667,92.75,77.04,88,40,3.44,mist
24,Khatanga,RU,71.9667,102.5,1.65,94,100,13.02,overcast clouds
25,Busselton,AU,-33.65,115.3333,65.08,66,0,16.53,clear sky
26,Port Elizabeth,ZA,-33.918,25.5701,87.1,64,0,34.52,clear sky
27,Punta Arenas,CL,-53.15,-70.9167,53.71,58,40,16.11,light rain
28,Hobart,AU,-42.8794,147.3294,64.26,80,75,8.05,broken clouds
29,Surgut,RU,61.25,73.4167,5.18,92,20,6.71,few clouds
30,Mar Del Plata,AR,-38.0023,-57.5575,80.62,69,20,13.8,few clouds
31,Ushuaia,AR,-54.8,-68.3,49.62,81,75,16.11,broken clouds
32,Kieta,PG,-6.2167,155.6333,81.32,83,98,6.17,overcast clouds
33,Polovinnoye,RU,54.7914,65.9864,1.47,94,100,5.55,overcast clouds
34,Barraute,CA,48.4335,-77.6328,-10.93,97,100,6.51,overcast clouds
35,Mezhdurechensk,RU,53.6942,88.0603,-0.29,100,93,0.94,overcast clouds
36,Dikson,RU,73.5069,80.5464,9.34,94,100,24.72,light snow
37,Port Hardy,CA,50.6996,-127.4199,39.76,100,100,3.44,fog
